col1,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_2264_center,PMemb
3,1635721458409799680,b'Gaia DR2 3326740006577519360',3326740006577519360,338009198,2015.5,100.29325409429428,0.0519739720592213,9.883824873788944,0.05314037532553416,1.1662958268117398,0.06108133404500317,19.094145,-1.772967849778027,0.099508476997784,-4.213214168266864,0.09344390398068032,-0.3016528,0.10637928,-0.2939462,0.308379,-0.40382665,0.12746298,-0.43541947,0.31691542,0.17210461,-0.24994807,156,156,154,2,17.077967,679.16113,0.13751518251022224,5.479144731990613,31,false,37.789845,1.7755988689206053,0.013532945901872642,-0.13038279,18,11,0.0653994,0,18,false,145,2058034.1489937364,1104.4999031525902,1863.3176,9.904735,16,1499564.2082154502,1790.222161917819,837.6414,9.911475,16,870721.416809137,800.6426505666448,1087.5282,9.912222,1.1517231,0,-7.46727E-4,0.00674057,-0.007487297,,,0,,,,b'NOT_AVAILABLE',202.96891314673636,2.2358517570500953,100.41635963577,-13.184036584280818,100001.0,9670.667,9200.25,9831.0,0.3173,0.1884,0.4576,0.1583,0.0864,0.211,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740006577519360',b'',0.008433223207247745,0.008440181147131505,0.8410000091791153
5,1635721458409799680,b'Gaia DR2 3326740075296996608',3326740075296996608,669586837,2015.5,100.28833055607666,0.08059057852055515,9.883731465325921,0.08142787052634927,1.456876921447634,0.07888007871730879,18.469517,-1.381547743870945,0.14731232144965486,-3.8060880153086316,0.1395591266771284,-0.523801,0.10280758,-0.40858006,0.5113141,-0.30623636,0.38421956,-0.55356187,0.2497921,0.07670757,-0.43986174,157,0,155,2,3.2987592,213.85217,0.2888875193162198,3.1743818576768748,31,false,3.5990098,1.3834165201516744,0.018468054629108978,-0.14738454,18,10,0.17399064,0,18,false,157,4760.70208812953,37.24616102386617,127.81725,16.494188,16,1167.366837856123,53.90388134762575,21.656452,17.68337,16,5719.30250483975,116.44497726973404,49.11592,15.368563,1.4465659,0,2.314808,1.1891823,1.1256256,,,0,,,,b'NOT_AVAILABLE',202.96678084183674,2.2314933286757084,100.41139814915033,-13.184483751602007,100001.0,3608.005,3417.0,4477.88,,,,,,,200111.0,1.1254046,0.73063093,1.2547377,0.1933662,0.17143314,0.21529926,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740075296996608',b'',0.01030905345708541,0.010361000930416467,0.9699999952316284
6,1635721458409799680,b'Gaia DR2 3326740002281694592',3326740002281694592,535645129,2015.5,100.29682258622029,0.05081594754564509,9.882132538886056,0.050553917279446595,1.3478389097651033,0.05610323513797325,24.024263,-1.478468185005951,0.09610760470406007,-3.8557863048897323,0.09130085556579531,-0.35610294,0.20152661,-0.289602,0.27336013,-0.386346,0.13733117,-0.41317815,0.23012601,0.12427822,-0.25724053,161,161,159,2,16.836754,676.9673,0.1418801836138991,6.011601257387255,31,false,36.901455,1.7794199239099169,0.013207767400038756,-0.15661809,18,11,0.06465639,0,18,false,156,1731621.980565813,847.3592908426299,2043.551,10.092233,17,1289283.1306928215,1934.2945733017468,666.5392,10.075518,16,708209.387466412,1069.1393162275558,662.41077,10.136516,1.1535385,1,-0.060997963,-0.01671505,-0.044282913,,,0,,,,b'NOT_AVAILABLE',202.97202580577726,2.2382074123436246,100.42008762501551,-13.185467717689274,100002.0,8748.333,7420.0,9705.0,0.087,0.0379,0.2241,0.0435,0.0146,0.1121,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740002281694592',b'',0.010362366596485217,0.010378690404840824,0.985
7,1635721458409799680,b'Gaia DR2 3326740075296996736',3326740075296996736,289548265,2015.5,100.28688664016296,0.09218925410517567,9.883634292608802,0.08262582284824609,1.4431216296956346,0.09303725611957228,15.511223,-1.4644998400389966,0.1739039227618198,-3.8536373791657486,0.15539436865080014,-0.24770091,0.2743385,-0.37280634,0.18521021,-0.29590976,0.12553845,-0.42431977,0.115378946,0.08617586,-0.15811011,161,0,161,0,2.2959156,199.38344,0.2702716356842309,1.5415661914568226,31,false,2.2650554,1.2825321867920663,0.021110468484401446,-0.09872641,18,11,0.17127872,0,18,false,161,2435.8795257462402,83.04925235360825,29.330542,17.221725,16,685.5217435714228,53.39899144915202,12.8377285,18.261335,16,3297.442186269764,377.03381370866003,8.745747,15.966477,1.6351235,0,2.294858,1.0396099,1.2552481,,,0,,,,b'NOT_AVAILABLE',202.96621762923775,2.2301832980525225,100.40994832789598,-13.184684452908751,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740075296996736',b'',0.011256247013406044,0.011328249961276168,0.8909999829530716
10,1635721458409799680,b'Gaia DR2 3326740006577518848',3326740006577518848,247139738,2015.5,100.30342303794208,0.032361977649125295,9.878714956407403,0.03202986687625071,1.3091174254132327,0.03598623136531883,36.378284,-1.7161301179685424,0.060407861010203796,-3.818737622479513,0.05490693719784917,-0.33240762,0.17921099,-0.25168812,0.33963302,-0.38486758,0.19111338,-0.43617478,0.24625383,0.12094106,-0.20760229,171,0,169,2,-3.3785195,109.59618,0.0,0.0,31,false,21.024837,1.4458724994686751,0.008072070051343071,-0.12230111,19,11,0.06926899,0,19,false,171,17130.066497345968,98.94444374960065,173.12813,15.103968,19,6168.718562415314,204.96746023363735,30.096087,15.875901,18,16508.00225907698,243.52828078874802,67.7868,14.217684,1.3237964,0,1.6582174,0.77193356,0.8862839,,,0,,,,b'NOT_AVAILABLE',202.97803899314744,2.242433510873942,100.42700486315131,-13.18840115354747,100001.0,4256.0,4174.0,4338.0,,,,,,,200111.0,1.3847126,1.3328577,1.4396535,0.5667878,0.53035533,0.6032202,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740006577518848',b'',0.016197131455717134,0.016281161567492337,0.9949999988079071
12,1635721458409799680,b'Gaia DR2 3326740826920796160',3326740826920796160,566200551,2015.5,100.27710999031584,0.07821653866448884,9.895905069803582,0.07933777330109996,1.3363298908020036,0.08828486650431663,15.136568,-1.7363244398755824,0.14979061934863308,-3.729502177385024,0.13525730031173436,-0.28006417,0.07399457,-0.21814233,0.38080108,-0.43215817,0.25082234,-0.37980878,0.17952897,0.08802193,-0.20555781,161,0,161,0,1.4319247,181.94473,0.0,0.0,31,false,2.9614525,1.3221630122975812,0.01934946722232332,-0.09202891,18,11,0.15221806,0,18,false,159,2983.1667065095453,5.056983944513792,589.9103,17.001673,14,821.0997455739976,14.50412060827374,56.61148,18.0654,13,3535.1406782796553,20.47495780618436,172.6568,15.890903,1.4602739,0,2.1744957,1.0637264,1.1107693,,,0,,,,b'NOT_AVAILABLE',202.95089196149283,2.2272144006906176,100.39916376769804,-13.173148673840888,100001.0,3642.5,3507.0,3933.395,2.43,1.953,2.6741,1.196,0.942,1.3698,200111.0,0.9410639,0.80701774,1.0151885,0.14045304,0.12121352,0.15969257,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740826920796160',b'',0.017342557333358273,0.017584765428953195,0.9809999978542328
14,1635721458409799680,b'Gaia DR2 3326740483318575616',3326740483318575616,1298416353,2015.5,100.3096097689004,0.1715198891944625,9.901241441378057,0.17231070062100798,0.9745266298046572,0.1936034002631459,5.0336237,-1.6673156322953164,0.33647593207773424,-3.8474925640130584,0.3125961009719213,-0.28891212,0.065977916,-0.2760715,0.30741602,-0.40979788,0.17798673,-0.4106065,0.22406252,0.16852944,-0.29576474,161,0,160,1,2.826084,209.45683,0.29328792012261673,0.45398976127907437,31,false,0.5735995,1.2625395657761687,0.042875719361858584,-0.09097497,18,11,0.34248164,0,18,false,158,844.92928851394,2.115651984820933,399.37064,18.371315,14,151.60032132039663,7.861239580322106,19.28453,19.899637,16,1363.626739983443,12.758399637407807,106.88071,16.92518,1.7933182,0,2.9744568,1.5283222,1.4461346,,,0,,,,b'NOT_AVAILABLE',202.96076327947458,2.2581369775277653,100.43155668205694,-13.16548943959912,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740483318575616',b'',0.01758188240178509,0.01778023301242978,0.7420000013709068
16,1635721458409799680,b'Gaia DR2 3326741209166292608',3326741209166292608,877038825,2015.5,100.27673326236318,0.09169357141121368,9.902908747658769,0.08178589860908238,1.4462650965713948,0.09434303468199468,15.329856,-1.5465143363823246,0.20395234793615766,-3.5789123507649188,0.15275533935707378,0.058505543,0.15921734,0.16129807,0.45342323,-0.46113732,0.45516893,0.039355688,-0.11036465,-0.112076275,0.40856346,133,0,133,0,4.095405,204.43181,0.3138323743103282,3.4551322295575364,31,false,3.5519922,1.3400974887323962,0.018689078677356547,0.0070009925,15,9,0.20382044,0,16,false,133,6208.192722618175,12.119502448281906,512.24817,16.205954,12,1787.1890438767612,29.868777108723343,59.83469,17.220963,14,9120.591773519573,46.18703168240523,197.47084,14.861862,1.7569978,0,2.3591003,1.0150089,1.3440914,,,0,,,,b'NOT_AVAILABLE',202.94448615218207,2.2300809130921557,100.39825940369435,-13.166190670283,102001.0,3678.9624,3482.0,4273.42,,,,,,,200111.0,1.2137487,0.8995562,1.3549458,0.24313843,0.21038587,0.275891,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741209166292608',b'',0.020359328088348987,0.020573467078260577,0.9089999812841415
19,1635721458409799680,b'Gaia DR2 3326740796851503360',3326740796851503360,830194860,2015.5,100.27170935652747,0.040878552456251015,9.887689574789587,0.039963672908159616,1.3477874445519278,0.04022499279541377,33.506218,-1.4243134546708291,0.08493489087615248,-3.5595877725440164,0.08908735184681292,-0.35939398,-0.03625635,-0.3579626,0.44289514,-0.2624893,0.38442153,-0.41138932,0.10680216,0.07655057,-0.44372463,143,0,142,1,5.8199635,256.6687,0.18091561636008877,3.567725291502281,31,false,14.799793,1.4002508528345188,0.00980978257473271,-0.15444008,16,9,0.10964484,0,19,false,144,24611.531513449347,62.72439056440548,392.37576,14.710519,17,8267.602765062371,74.20388370004778,111.41739,15.55794,18,24605.34456722653,134.41387447967531,183.05658,13.784347,1.3356726,0,1.773593,0.8474207,0.92617226,,,0,,,,b'NOT_AVAILABLE',202.9557769483476,2.218730694937948,100.39432889703089,-13.181730008972586,100001.0,4188.2075,3952.0,5122.64,2.8357,2.387,3.1515,1.4137,1.1374,1.563,200111.0,1.6955376,1.1333815,1.9042763,0.79693395,0.7427073,0.8511606,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740796851503360',b'',0.022712626399806552,0.023036516839187424,0.9919999980926514
22,1635721458409799680,b'Gaia DR2 3326740040937260160',3326740040937260160,108352499,2015.5,100.27420900132446,0.03170053906741773,9.879933555953825,0.030380663812238126,1.333906910039378,0.0350013008981988,38.11021,-1.6994835493031313,0.060719844240322084,-3.73805944899335,0.05486254058024925,-0.16093342,0.12539127,-0.23156865,0.2707347,-0.26808998,0.17696491,-0.39497375,0.25874802,0.12794012,-0.14112362,175,0,174,1,1.6323965,200.07578,0.0,0.0,31,false,18.003704,1.4276947606938297,0.007935325693510987,-0.012301545,20,11,0.06717744,0,20,false,174,15310.405415168641,18.610243038488406,822.687,15.225899,18,4994.511231824329,34.72202403642879,143.84274,16.105156,18,15448.804970976656,62.59162774397023,246.81903,14.289682,1.3352563,0,1.8154736,0.8792572,0.93621635,,,0,,,,b'NOT_AVAILABLE',202.96380790130024,2.217381488410445,100.39743180042991,-13.189285993823223,100001.0,3925.3333,3900.0,4290.01,2.2697,1.7726,2.494,1.15,0.9459,1.262,200111.0,1.6685175,1.3969063,1.6902642,0.5954734,0.55886394,0.6320829,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740040937260160',b'',0.023287963702658288,0.02353962355940724,1.0
24,1635721458409799680,b'Gaia DR2 3326741209168361856',3326741209168361856,1489611730,2015.5,100.27367970880694,0.04201721104565095,9.905180358284367,0.04545270738927846,1.4661065850024677,0.05225499041320434,28.056776,-1.7805619608312786,0.0804249576951639,-3.8949054857481338,0.07267082978314299,-0.21404,0.006225423,-0.24614821,0.34787634,-0.5191995,0.16411684,-0.39970857,0.23182113,0.1199048,-0.15775713,151,0,150,1,2.1144505,183.29015,0.11727402222263099,1.1486350258718472,31,false,13.072858,1.3726123377891608,0.010884030779227921,-0.074881494,18,11,0.08458543,0,18,false,150,13635.636712929547,27.667171454566603,492.84534,15.351677,10,3772.0464679906904,37.5734019667561,100.3914,16.409946,12,15391.399140337475,162.89425407181955,94.48706,14.293725,1.4053943,0,2.1162214,1.0582695,1.0579519,,,0,,,,b'NOT_AVAILABLE',202.94108942111257,2.228441328647123,100.39500837789154,-13.164144293128894,100001.0,3909.7434,3606.5,4493.63,2.9067,2.597,3.1715,1.4555,1.2599,1.579,200111.0,1.4516994,1.0989517,1.7060876,0.4436506,0.4091106,0.4781906,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741209168361856',b'',0.024115115841125533,0.024365674833204846,0.9319999843835831
25,1635721458409799680,b'Gaia DR2 3326741239231756416',3326741239231756416,1311216831,2015.5,100.30176800736032,0.12804093478153836,9.916685536380816,0.13025683230502774,1.5149392772257344,0.14556100964266802,10.40759,-2.8540638395179654,0.24605741517474633,-3.676578043952415,0.22191401315521134,-0.2785929,0.08023447,-0.19510922,0.37593636,-0.44705513,0.24969335,-0.3602419,0.16581658,0.096070096,-0.2195233,162,0,162,0,3.2234094,220.48877,0.49966984755940896,3.048514444678158,31,false,1.0569965,1.3021098067441106,0.030657025468060442,-0.08801193,18,11,0.24454883,0,18,false,161,1679.280569270883,3.605087378769027,465.80856,17.625557,15,398.0842561471472,10.251084364426593,38.83338,18.85145,14,2216.7146937196285,10.085852705643392,219.78456,16.397646,1.5570947,0,2.453804,1.225893,1.227911,,,0,,,,b'NOT_AVAILABLE',202.94348249577524,2.258311572184418,100.4224857349456,-13.150651177252703,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741239231756416',b'',0.02557059134198183,0.02559907470573853,0.7030000120401383
26,1635721458409799680,b'Gaia DR2 3326740796851503744',3326740796851503744,1003479611,2015.5,100.26860406476405,0.03659623988615275,9.888417381696215,0.03577449111684697,1.3439424568157057,0.035680130393879836,37.666412,-1.3685419261713903,0.07122941736463886,-3.713483068587932,0.06648831702201319,-0.3605982,-0.026395025,-0.3473483,0.472375,-0.25199264,0.3970073,-0.47761917,0.17817129,0.008679084,-0.3199192,160,0,158,2,1.2202274,174.62419,0.0,0.0,31,false,18.610645,1.4211685188415408,0.008531999255674633,-0.08211273,18,10,0.08793058,0,18,false,159,15462.174963464417,74.74084864106433,206.87717,15.215189,13,5140.293573664717,61.82739786401128,83.13941,16.07392,14,15688.55659071835,221.04121661351124,70.97571,14.272963,1.3470842,1,1.8009567,0.8587303,0.9422264,,,0,,,,b'NOT_AVAILABLE',202.95373147853934,2.216341029813824,100.39114085080368,-13.181226960969628,100002.0,3934.6025,3857.94,4126.463,2.1785,1.7775,2.4761,1.107,0.9459,1.252,200111.0,1.651238,1.5012586,1.7175148,0.5887318,0.5521551,0.6253086,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740796851503744',b'',0.025600688999687236,0.025972856771689975,0.9989999997615814
27,1635721458409799680,b'Gaia DR2 3326740418894376704',3326740418894376704,1649973228,2015.5,100.32145533699925,0.08701191339092378,9.894364332338364,0.0874103133355657,1.2576759447772023,0.09699759765591885,12.966052,-1.297357218000151,0.1685159062426043,-3.9137778224582154,0.16253865594124542,-0.36015838,0.13584253,-0.25748047,0.3350905,-0.390399,0.19970079,-0.38549197,0.22013092,0.15344374,-0.3412643,161,0,160,1,1.6929154,186.00446,0.2796337878960666,1.768977486636816,31,false,2.3030157,1.2782532662539428,0.021469319729585944,-0.16084908,18,11,0.18108295,0,19,false,161,2848.774261986049,4.812541600790976,591.948,17.051722,18,665.0115919090758,15.628831622952948,42.55031,18.294315,18,3582.490189427951,14.386010183241583,249.02597,15.876457,1.4909928,1,2.4178581,1.2425938,1.1752644,,,0,,,,b'NOT_AVAILABLE',202.97221666143506,2.265382014139585,100.44402563665908,-13.171494479117396,100002.0,3804.02,3413.6667,4167.1724,,,,,,,200111.0,0.84686273,0.70569277,1.051614,0.13529818,0.113784865,0.15681149,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740418894376704',b'',0.026832906001566292,0.02724145117304425,0.8410000038146973
28,1635721458409799680,b'Gaia DR2 3326739972217783552',3326739972217783552,1371192110,2015.5,100.28831011334344,0.21927714869895554,9.865852335026098,0.21127835469921305,1.2491167465805073,0.2456735234275961,5.0844584,-2.0199189291644575,0.4326088338756184,-3.784105174872007,0.3952219116363303,-0.17010038,0.06123067,-0.19580708,0.27500868,-0.34473863,0.18188,-0.3390896,0.20513988,0.16411455,-0.20864715,186,0,185,1,6.0498524,319.93808,1.1981002627830528,7.880059928121852,31,false,0.28473434,1.133417998769136,0.05369863858125642,-0.055357438,21,11,0.41763198,0,21,false,184,758.5040159207235,2.250886445281201,336.98013,18.48847,15,219.16245497123103,12.26488408662597,17.8691,19.499474,19,1195.8782455719522,15.598032998020066,76.668526,17.067703,1.8655678,0,2.4317703,1.0110035,1.4207668,,,0,,,,b'NOT_AVAILABLE',202.98269188472327,2.223315013910851,100.41271752332666,-13.202316688498104,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326739972217783552',b'',0.026996087680215528,0.02701995913645177,0.8249999946355819
31,1635721458409799680,b'Gaia DR2 3326739766059353472',3326739766059353472,1389756099,2015.5,100.28952577915531,0.04803579224199113,9.863868217027003,0.04653094632653508,1.2875260443333427,0.05431295852618994,23.705688,-1.8273002409766674,0.09366477386752423,-4.060072857298125,0.08495366465813242,-0.18420519,0.09793419,-0.20121756,0.26148877,-0.3480602,0.15482329,-0.35303172,0.22166517,0.14181739,-0.16136393,188,0,188,0,11.9982815,520.5492,0.34125953534074666,13.383976746990646,31,false,6.1204863,1.3690172554366695,0.011694772302345812,-0.056795873,21,11,0.09596397,0,21,false,188,18943.27885992319,30.417012362927952,622.78564,14.994728,20,4726.810437864586,42.08442271733894,112.31734,16.164968,21,22779.655557554324,59.885528076314095,380.38666,13.8680525,1.4520435,0,2.296916,1.1702404,1.1266756,,,0,,,,b'NOT_AVAILABLE',202.98500567547617,2.2234750757717987,100.41409318055588,-13.204208112291088,100001.0,3636.5,3428.0,4009.95,2.5427,2.3489,2.7898,1.282,1.1846,1.4453,200111.0,2.4747784,2.0352867,2.7849786,0.9649431,0.8765099,1.0533763,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326739766059353472',b'',0.028714804257984013,0.028731221886703382,0.9869999986886978
35,1635721458409799680,b'Gaia DR2 3326739800419090176',3326739800419090176,1141875842,2015.5,100.30544579225501,0.05793554649202735,9.865109635199461,0.05624441044677403,1.3784435673706215,0.06160431073135951,22.375765,-1.7201816650582356,0.113371850252834,-3.7377722336050447,0.10535207838517811,-0.3178216,0.14373992,-0.35202372,0.25620514,-0.37697062,0.15505853,-0.41487584,0.17140569,0.122682825,-0.2586347,153,0,153,0,0.34918663,153.40547,0.0,0.0,31,false,5.9434237,1.3609420910015837,0.014056600871957547,-0.12934381,17,11,0.121085815,0,17,false,153,5436.384525980819,21.088514482274643,257.78888,16.35009,14,1618.2439140401268,28.94124808713389,55.914795,17.328777,16,6096.346744191873,63.56441556062986,95.90817,15.299246,1.4190664,0,2.0295315,0.9786873,1.0508442,,,0,,,,b'NOT_AVAILABLE',202.9910642186143,2.237997435464736,100.43006751961019,-13.201824451168607,100001.0,3722.0,3653.0,4041.515,,,,,,,200111.0,1.1468363,0.97267056,1.1905696,0.22740656,0.2056486,0.24916452,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326739800419090176',b'',0.029223239051522666,0.02929362644020172,0.9219999814033508
40,1635721458409799680,b'Gaia DR2 3326740796851503872',3326740796851503872,1022305669,2015.5,100.26210478751271,0.05537661574702417,9.893347716504033,0.054291990803972276,1.3841107688499494,0.06258209762243197,22.11672,-1.2365278735136231,0.11039834457910136,-3.426972051874471,0.0993348339470567,-0.108303726,-0.017601065,-0.14364938,0.29584807,-0.38158476,0.21965452,-0.29829112,0.1453109,0.09483999,-0.12056935,179,0,177,2,1.2338182,195.18758,0.10660209293676871,0.47047220697504594,31,false,4.9178743,1.3339666001833286,0.013902323356867193,-0.024423122,20,11,0.109157786,0,20,false,178,4865.183433306533,20.480202452076306,237.55544,16.470617,20,1416.3285158749025,49.90927001042958,28.378065,17.473478,20,5755.061315809872,66.98790601994153,85.91194,15.361795,1.4740225,0,2.111683,1.002861,1.1088219,,,0,,,,b'NOT_AVAILABLE',202.94641668871415,2.2128948414150598,100.38421377416293,-13.176775852633751,102001.0,3640.0,3554.0,3949.5498,,,,,,,200111.0,1.162947,0.9877966,1.2199103,0.21390462,0.1932322,0.23457704,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740796851503872',b'',0.03174399481471306,0.03221566327542721,0.7059999926388264
42,1635721458409799680,b'Gaia DR2 3326740521973590656',3326740521973590656,721773016,2015.5,100.3218655893854,0.03456277386704929,9.908974817553744,0.03490709428680111,1.3441726067060868,0.03944296232784064,34.078896,-1.6113067451181178,0.06351107461543129,-3.6956364151875123,0.058234453654388646,-0.36687407,0.20313714,-0.240929,0.36776072,-0.42568088,0.18253471,-0.4473959,0.27158973,0.14384434,-0.22427854,167,0,167,0,1.5046374,189.87872,0.08909660906385163,0.8545802395576566,31,false,19.398779,1.4607546630684014,0.008390010292901366,-0.123713754,19,11,0.0725459,0,19,false,167,18872.396739736334,195.04782014352782,96.7578,14.998798,16,7085.153216958791,447.7915628303423,15.822435,15.725515,17,18562.58796969713,536.4419941785665,34.60316,14.090323,1.3590082,0,1.6351919,0.726717,0.9084749,,,0,,,,b'NOT_AVAILABLE',202.95939042976255,2.27240876534292,100.44334129722147,-13.156893603177075,100001.0,4349.7925,4153.5,5167.5,,,,,,,200111.0,1.3239444,0.93809295,1.4520395,0.5653383,0.5269559,0.6037207,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740521973590656',b'',0.03191607363440245,0.03226850201241579,0.9909999978542328
43,1635721458409799680,b'Gaia DR2 3326741277887838080',3326741277887838080,156479806,2015.5,100.26902097762766,0.062138031386762216,9.912165684066421,0.05796652404844853,1.274248365212144,0.06049609531241224,21.063316,-1.209960586086966,0.11033569314807098,-3.9683785834878766,0.10264440940342105,-0.25360245,-0.22984493,-0.18560766,0.66441727,-0.24928673,0.5118769,-0.35463008,0.18889047,-0.23680532,-0.10745522,116,116,115,1,8.9935665,303.27203,0.0,1.3368447588157967E-15,31,false,253.9856,1.6883214301880292,0.014646835583702458,-0.073342025,13,9,0.07368377,0,15,false,107,1431961.3203024536,1347.11165030633,1062.9863,10.298537,11,847445.6160814154,1796.8424093706626,471.63046,10.531109,13,842967.1118133741,1254.5312286378535,671.9379,9.947393,1.1804878,0,0.58371544,0.2325716,0.35114384,,,0,,,,b'NOT_AVAILABLE',202.93277319697907,2.2275464409271213,100.38978532812631,-13.157511808063926,100001.0,6521.8247,6409.0,6698.3926,1.4163,0.9175,1.7006,0.7327,0.4649,0.8561,200111.0,4.5748405,4.336836,4.73733,34.11325,31.986635,36.23987,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326741277887838080',b'',0.031926791789514644,0.0322126917897533,0.9689999988675118
45,1635721458409799680,b'Gaia DR2 3326740899930718336',3326740899930718336,107534867,2015.5,100.26194876481452,0.0710153136706224,9.897964979505533,0.06944057292310071,1.4197676277635771,0.0799418502498381,17.760004,-2.7491757677534077,0.14157351728802384,-3.8171585701503803,0.12656590382332472,-0.115885526,0.0038027533,-0.14184219,0.30074602,-0.38469848,0.22565815,-0.29135585,0.13633452,0.09207219,-0.120601416,177,0,177,0,4.8523254,277.68802,0.28845950069113724,2.7178848675303042,31,false,2.9418,1.3107955663628046,0.017423087729557273,-0.0315513,20,11,0.13668469,0,20,false,174,3836.8117686106175,6.328985391830931,606.2286,16.72844,19,923.3369763989124,17.613486503266056,52.422157,17.937988,17,5093.154249324527,54.72107879758416,93.074814,15.494452,1.5680965,0,2.4435358,1.209549,1.2339869,,,0,,,,b'NOT_AVAILABLE',202.94223525376012,2.214865738392774,100.38371121037834,-13.172182020738207,102001.0,3576.6375,3418.0,4194.2266,,,,,,,200111.0,1.0672913,0.77612025,1.1686612,0.16794236,0.14819759,0.18768713,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326740899930718336',b'',0.03239466801218593,0.03286087957931005,0.8390000075101852
48,1635721458409799680,b'Gaia DR2 3326739933563070720',3326739933563070720,503561941,2015.5,100.26870001429938,0.13414658186273645,9.87016901671438,0.13961676021483574,1.3051319240836594,0.1739281249242546,7.5038576,-0.9747768110267668,0.25720216310561506,-4.04650052063839,0.2426201040648713,-0.22155319,0.18458539,-0.13227957,0.26480222,-0.49519205,0.041834835,-0.32692868,0.3018719,0.2482607,-0.21160603,158,0,151,7,1.492952,172.28084,0.3935339990589429,1.36488414017808,31,false,0.9261502,1.3075517017594407,0.03334455984864048,-0.05983703,18,11,0.25029135,0,18,false,149,1337.628572427494,3.649515802061264,366.52222,17.872526,11,455.11664386146316,29.313910717758198,15.52562,18.706081,14,1782.6508352158808,14.095031888090611,126.4737,16.634254,1.6729363,1,2.071827,0.8335552,1.2382717,,,0,,,,b'NOT_AVAILABLE',202.97002309590766,2.208095398083403,100.39260273855412,-13.199419979455659,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+3326739933563070720',b'',0.03348871124650766,0.0337745983307487,0.6479999934136867
