,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_581_center,PMemb
12,1635721458409799680,b'Gaia DR2 509862821924860928',509862821924860928,633282302,2015.5,23.33747810622335,0.03250366977737037,60.64558862010102,0.03699814369533528,0.3915142386998947,0.04998463217008374,7.832692,-1.4412539105189153,0.054181177975434036,-0.6080149415312424,0.06634161465427933,0.010663184,0.14642636,-0.51415265,-0.07426441,-0.111162245,-0.1975297,-0.18795499,-0.15238087,0.2523592,-0.3234879,357,0,347,10,-1.762963,297.32584,0.0,0.0,31,False,7.076538,1.565709440308584,0.008846660138645535,0.031219201,40,19,0.069775745,0,55,False,388,6486.853181923357,4.158927721523982,1559.7417,16.158281,44,3278.4988515492532,26.010010488013364,126.04758,16.5622,39,4982.095379598894,21.013781279222343,237.08705,15.51839,1.2734363,0,1.0438108,0.40391922,0.6398916,,,0,,,,b'NOT_AVAILABLE',128.0491088785033,-1.8090708758343186,49.38533803530227,46.25587597736825,100001.0,5205.95,5034.5576,5423.0,1.1545,0.8473,1.7941,0.588,0.462,0.8451,200111.0,1.6379896,1.509496,1.7514129,1.7754853,1.2773703,2.2736,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821924860928',b'',0.006025267501005698,0.009448282223292777,0.8180000072717667
15,1635721458409799680,b'Gaia DR2 509862821924863104',509862821924863104,1432153731,2015.5,23.345439509414465,0.017842642119663077,60.64345408765327,0.02088877600307123,0.2548365393570071,0.030242273614705363,8.4265,-1.194530617805254,0.03092704508656414,-0.3318760020925822,0.04041978714549913,-0.2872865,0.18927947,-0.3701511,0.060090717,-0.17646319,-0.0028342702,-0.12208009,-0.15173137,0.20479244,-0.50957876,433,0,431,2,-2.1563997,365.50363,0.0,0.0,31,False,18.381409,1.599226698130025,0.005176745584276141,-0.016740814,50,19,0.04839131,0,56,False,462,15519.596670753803,7.2974329527439155,2126.72,15.211164,44,8291.64229533158,27.92114908623266,296.96637,15.554787,44,10914.48915654964,28.16445957223347,387.527,14.666911,1.2375406,0,0.88787556,0.3436222,0.54425335,,,0,,,,b'NOT_AVAILABLE',128.0533080946526,-1.8105449739840767,49.388500338668365,46.25200202591576,100001.0,5457.8867,5356.6,5947.65,,,,,,,200111.0,3.4820774,2.9322207,3.6150057,9.693254,6.9075456,12.478964,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821924863104',b'',0.0065491420572796515,0.0065577483258106705,0.6550000033527613
19,1635721458409799680,b'Gaia DR2 509862821924863488',509862821924863488,932470487,2015.5,23.341246811869375,0.019869592232237394,60.64303514766342,0.02401882994488931,0.38000517331316847,0.03372469609003251,11.26786,-1.36912100136554,0.03301163752508689,-0.544924147916322,0.048321139534849365,-0.24349247,0.16378877,-0.48593462,0.09201964,-0.16944404,0.051450234,-0.23757617,-0.19165404,0.28724065,-0.44453713,435,435,409,26,17.204514,1115.6027,0.0,0.8308890179127356,31,True,341.55637,1.708765942005998,0.005375340629512125,-0.029851813,51,19,0.0358898,0,66,False,481,717312.0846427379,587.6339478260612,1220.6785,11.049095,51,477005.21706900065,1035.5102404685272,460.64752,11.155081,51,371923.12705526385,519.1925923035191,716.34906,10.835787,1.1834854,1,0.31929398,0.10598564,0.21330833,,,0,,,,b'NOT_AVAILABLE',128.05134669743845,-1.811291407060932,49.385656249019995,46.25273190649807,100002.0,8662.5,8259.333,8941.75,0.925,0.7009,1.155,0.463,0.3453,0.5831,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821924863488',b'',0.00732145624534423,0.008339383468394154,0.8999999815225601
24,1635721458409799680,b'Gaia DR2 509862821925154816',509862821925154816,925930807,2015.5,23.361931022507303,0.026060975782049033,60.64833706097231,0.03230486160382223,0.3363671721655898,0.047133797334715705,7.1364326,-1.4942398390747136,0.04426791611799668,-0.2655659737909227,0.06262894812580372,-0.31278625,0.21864356,-0.44886044,0.14415371,-0.17046405,0.03975337,-0.12404687,-0.19570163,0.28321928,-0.5468137,405,0,405,0,0.76804996,421.4287,0.0,0.0,31,False,8.744256,1.577236417472567,0.0076403995355503185,-0.008125291,47,18,0.0688027,0,54,False,438,7833.761420939604,3.555755782458844,2203.1213,15.95344,44,3964.2145025583372,11.625472532238097,340.99384,16.355995,44,5989.564633966659,20.622399845710216,290.43976,15.318432,1.2706257,0,1.0375633,0.40255547,0.63500786,,,0,,,,b'NOT_AVAILABLE',128.06049696167037,-1.8044155470195464,49.40215737229437,46.251879049275374,100001.0,5192.1333,5022.0,5594.16,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821925154816',b'',0.008055505254099012,0.016183357818124244,0.5540000028908253
32,1635721458409799680,b'Gaia DR2 509862925004366976',509862925004366976,1072052803,2015.5,23.36388846875713,0.018620422594608575,60.650768491265005,0.02214085438448958,0.35583471935060285,0.02989797480703746,11.901633,-1.4470686388060992,0.030611399410096395,-0.5551264509347376,0.04925045141426707,-0.28892434,0.23878568,-0.46300754,0.11903738,-0.20042266,0.10398289,0.0030672185,-0.195087,0.12629966,-0.34030345,328,218,323,5,8.853123,596.5807,0.0,0.0,31,False,174.13269,1.6789869074351136,0.005278094362063703,-0.0678726,38,19,0.040114127,0,56,False,338,132693.28245156098,37.15591197354918,3571.2563,12.881244,30,85870.50876710982,267.4584015457084,321.0612,13.016778,29,73961.01802362798,109.61338053703557,674.74445,12.589413,1.2045186,0,0.4273653,0.13553429,0.29183102,,,0,,,,b'NOT_AVAILABLE',128.06104928336427,-1.8018606251260094,49.40519254881105,46.253437118336045,100001.0,7708.6665,7395.6665,7998.0,1.1157,0.7599,1.4716,0.535,0.3146,0.728,200111.0,3.628262,3.3705,3.941872,41.880226,35.58881,48.171642,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862925004366976',b'',0.008874410402224931,0.01807148622453346,0.9719999969005585
39,1635721458409799680,b'Gaia DR2 509862821925160704',509862821925160704,267848075,2015.5,23.359635038444097,0.02226655695860106,60.64278929840549,0.02311788699692317,0.4837113665165265,0.03539596382284013,13.665721,-1.2806410340678378,0.033528412867289935,-0.4888872219687771,0.04394085389139297,-0.5619251,0.49671525,-0.5887659,0.30852142,-0.3886199,0.2898307,-0.34840736,-0.44458008,0.4176674,-0.63592696,370,102,357,13,8.949712,645.8638,0.07278417156223052,2.0267099574141065,31,True,81.877174,1.6948189751972293,0.005452497317879359,0.0039957883,43,17,0.049101572,0,55,False,392,118533.33111272799,42.761416886925964,2771.9692,13.003764,48,77143.59794328736,165.69314096115696,465.58112,13.133139,41,65276.05300455246,65.69390858948326,993.63934,12.725036,1.2015157,0,0.408103,0.1293745,0.2787285,,,0,,,,b'NOT_AVAILABLE',128.06028659707115,-1.8100724230869556,49.39653869048368,46.247762243749456,100001.0,7757.0,7484.0,8072.0,0.522,0.0419,0.9643,0.3013,0.0229,0.548,200111.0,2.4957826,2.3047936,2.681185,20.318115,17.337688,23.298542,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821925160704',b'',0.00988206726130282,0.015571813428784453,0.6639999967813491
43,1635721458409799680,b'Gaia DR2 509862890644335104',509862890644335104,342074996,2015.5,23.32595845378219,0.01629383516333579,60.6525501991191,0.01907836551189855,0.41124352038108186,0.028636926078002153,14.360602,-1.2755611958421407,0.027721870893464548,-0.4628441022121818,0.037052787418304964,-0.23326953,0.15008125,-0.4171471,0.07265014,-0.21170403,0.0012944032,-0.1668502,-0.14586587,0.2760988,-0.4830355,418,0,415,3,-4.5877695,291.62692,0.0,0.0,31,False,25.659952,1.6408277526843902,0.004657174194016914,0.0006034743,48,17,0.04484404,0,59,True,440,21367.23872482869,5.504699889765328,3881.6355,14.863995,52,12440.427291316246,16.843375396095794,738.59467,15.1143,50,13377.317539285184,12.807733016249552,1044.4719,14.445997,1.2082864,0,0.66830254,0.25030518,0.41799736,,,0,,,,b'NOT_AVAILABLE',128.04240685760902,-1.8031149176017438,49.38372319228327,46.26476976110715,100001.0,6405.0,6103.3335,6905.0,,,,,,,200111.0,1.7959778,1.5452967,1.9779031,4.890724,4.0548325,5.726616,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862890644335104',b'',0.010077543787752148,0.02003781974717887,0.8849999862909317
66,1635721458409799680,b'Gaia DR2 509862821924865408',509862821924865408,889939705,2015.5,23.357113993203498,0.024439866975233593,60.63884099576346,0.02523581884860664,0.3910086159836291,0.03906575334694752,10.008987,-1.2092545074790582,0.04135139619575952,-0.5332747185248613,0.049439128419444596,-0.23445088,0.12708358,-0.4594043,0.030804643,-0.19305304,-0.046451647,-0.13752046,-0.16604331,0.30286252,-0.48976603,409,0,404,5,-2.5442698,330.7677,0.0,0.0,31,False,12.250005,1.5813902008937764,0.006692105424481656,-0.03553631,47,18,0.05782086,0,57,False,404,10479.128532441222,5.086298929687609,2060.2659,15.637553,43,5512.861537153219,17.830401009700743,309.18326,15.997946,42,7421.663470533566,13.930929557654787,532.7472,15.085667,1.234313,0,0.9122791,0.36039257,0.55188656,,,0,,,,b'NOT_AVAILABLE',128.0597072786119,-1.8141689556312648,49.39200610684424,46.2450619704518,100001.0,5671.6772,5269.0,6708.207,,,,,,,200111.0,1.7100985,1.2224504,1.9814711,2.7263587,2.1023223,3.350395,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862821924865408',b'',0.012450512483692397,0.015867474211790186,0.8909999796748161
73,1635721458409799680,b'Gaia DR2 509862787565127296',509862787565127296,726034261,2015.5,23.340712587569914,0.013969236659201217,60.63729027265882,0.014964124656233872,0.39479388900029333,0.02315741610695606,17.048271,-1.346726099631412,0.023255428782793245,-0.4549999697430419,0.03029350857426387,-0.2302418,0.04360327,-0.47385666,0.04247299,-0.07449441,-0.00629065,-0.14124438,-0.12453036,0.2243548,-0.46082392,422,0,420,2,-1.4191183,374.82025,0.0,0.0,31,False,50.109726,1.6687778530724993,0.0036429019544128175,-0.07950962,48,18,0.03855987,0,56,False,469,41210.11915543296,9.899272318935923,4162.9443,14.150856,51,25538.24640235289,33.78945044215358,755.8053,14.33341,49,23948.574569003053,29.66444191921014,807.31586,13.813721,1.2008415,0,0.51968956,0.18255424,0.33713531,,,0,,,,b'NOT_AVAILABLE',128.05201915708312,-1.8170028381846521,49.38094683066609,46.24799199799892,100001.0,7260.0,6990.4165,7621.6665,0.7253,0.4025,1.101,0.412,0.2256,0.5961,200111.0,2.0316875,1.8434453,2.191412,10.331301,8.7558155,11.906786,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862787565127296',b'',0.012957039753375784,0.013702524297460054,0.9659999948740006
77,1635721458409799680,b'Gaia DR2 509862169090128000',509862169090128000,996972301,2015.5,23.371715021748397,0.020144543647485226,60.64658380533531,0.022333919623686083,0.3379509292330271,0.03265957624218882,10.347683,-1.3246314826028405,0.03420534498613116,-0.577004010914971,0.04410440512607663,-0.2462712,0.22306038,-0.45842966,0.04950718,-0.13201347,-0.02713746,-0.16665131,-0.22087601,0.28441402,-0.4742285,489,489,485,4,16.89531,1215.6039,0.0,0.0,31,False,92.825714,1.3385840706006351,0.005524730711461799,0.0279521,56,20,0.03414588,0,71,False,569,20002962.46050301,13366.445380231711,1496.5057,7.43563,63,4151908.4122809786,13676.277622043579,303.5847,8.805769,64,23738678.411308527,38553.770945627584,615.72906,6.3232784,1.3943228,1,2.4824905,1.3701391,1.1123514,-45.32839839104308,0.3199674883487584,32,4500.0,3.0,0.0,b'NOT_AVAILABLE',128.06551643504037,-1.8053667685020212,49.40670821953379,46.24785767238191,100002.0,3660.42,3530.0,3840.85,,,,,,,200111.0,299.80377,272.29785,322.3662,14537.594,12348.939,16726.248,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862169090128000',b'',0.013130225686649578,0.02610617462873493,0.8240000057220459
79,1635721458409799680,b'Gaia DR2 509862856284602880',509862856284602880,1278241967,2015.5,23.32662197531116,0.014045896037694417,60.64066070235208,0.01501890734803609,0.3676018162992169,0.022365128031581936,16.436384,-1.357281089053953,0.022490186630226165,-0.5159393747348996,0.02803421994824303,-0.48492253,0.39790756,-0.46657565,0.19907334,-0.31224242,0.14168939,-0.24624951,-0.27747026,0.31955343,-0.59753793,420,9,416,4,3.2535334,510.74457,0.025885570999590202,0.24490699985749664,31,False,120.82857,1.6828401662230683,0.0034547524511746516,-0.0031696693,49,20,0.038962465,0,58,True,465,109969.76458536692,63.49271285857796,1732.0061,13.085182,56,69597.20812897701,121.37960468041928,573.3847,13.244908,57,62551.88994159983,78.07386410191233,801.1886,12.771318,1.2016858,0,0.4735899,0.15972614,0.31386375,,,0,,,,b'NOT_AVAILABLE',128.0446522062309,-1.8147952154365465,49.37503766081787,46.25450308387451,100001.0,7638.6665,7213.233,7934.0,1.309,1.1243,1.5018,0.6458,0.5442,0.75,200111.0,3.2484667,3.0111275,3.6429534,32.36844,27.257534,37.479343,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+509862856284602880',b'',0.013269371539661958,0.0213611476643211,0.9799999958276748
